text,distortion_label,language
"The more I try to achieve my goals, the more I feel overwhelmed by self-doubt. What if I'm just deluding myself?",Overgeneralization,en
His words still haunt me: 'You're being too sensitive.',Should Statements,en
"Every time we go out as a family, something goes wrong – the restaurant is too loud, the park is closed, etc.",Black & White Thinking,en
"Every time I start a new project, the same doubts creep in – that I'll never meet expectations and let someone down.",Overgeneralization,en
Sometimes I wonder if anyone actually cares about me or if they're just pretending to help me through the tough times.,Emotional Reasoning,en
"""I keep replaying my mom's one criticism of my art in my head, even though she's always been supportive.""",Mental Filter,en
"Lately, I've been having these recurring nightmares about failing a test in college. It's not just the dream itself that bothers me – it's the feeling of inadequacy that lingers after waking up. Like, what if this is some kind of foreshadowing? What if I really am not cut out for this?",Emotional Reasoning,en
"Going through my old photos from college, I realized how different life was back then. It's funny how memories can feel both nostalgic and distant at the same time.",No Distortion,en
"I'm still processing the feedback from my manager, trying to weigh the areas where I excelled against those that need improvement.",No Distortion,en
"I've noticed that whenever there's a change of plans, my partner seems uncertain about our schedule. It makes me think she's planning something without telling me.",Jumping to Conclusions,en
What if my boss sees this email mistake? Will he think I'm incompetent?,Magnification and Catastrophizing,en
The way he looked at me when I said I was leaving the party early... it was like he knew something was up. But what?,Jumping to Conclusions,en
The gym is a complete waste of money – no one even looks at you unless you try to get too close to the mirrors. What's the point?,Black & White Thinking,en
"I've been replaying our argument in my head, and I'm convinced that if I hadn't said those words, he wouldn't have walked out.",Personalization,en
I asked for directions and got confused looks; I'm clearly not cut out for this trip.,Jumping to Conclusions,en
His words hung in the air: 'You should've seen it coming.',Should Statements,en
"The traffic light turned red, and so did my day – stuck in a rut forever.",Overgeneralization,en
"I've been meaning to ask Alex about his project, but every time I bring it up, he changes the subject. Maybe he doesn't want me to know something.",Jumping to Conclusions,en
"I'm worried that if I don't keep pushing myself, I'll stagnate and never achieve anything.",Should Statements,en
I feel like every single thing I try ends in failure – from relationships to business ventures and even hobbies. Maybe this is just who I am.,Black & White Thinking,en
"Every time I try to improve myself, something pushes back and makes me lose momentum.",Overgeneralization,en
It's okay if things don't go exactly as planned. That's just part of being human – making mistakes and learning from them.,No Distortion,en
"If I say no to one social invitation, people will think I'm antisocial and uninviting.",Magnification and Catastrophizing,en
"My mother is always telling me how proud she is, but sometimes a single harsh criticism from her can undo all her kind words.",Mental Filter,en
"I've been trying to fix my car for weeks, but nothing seems to be working. Maybe I'll just have to sell it off before it's too late.",Black & White Thinking,en
I've been getting these bad headaches lately – could they be related to stress from work or is there something else causing them?,Personalization,en
"If only I'd handled the situation differently, maybe everything would be fine now.",Personalization,en
"After the event, people were praising the parts of it that went smoothly, but I'm also thinking about what didn't quite work as planned.",No Distortion,en
"Reaching for the top shelf yesterday made me feel like I was grasping at thin air – it's just out of my reach, no matter how hard I stretch.",Overgeneralization,en
"Every time I try to eat something new, it gives me heartburn. Maybe food just isn't meant for me either.",Overgeneralization,en
What if the traffic on my way to work today is awful? It'll make me late for sure.,Jumping to Conclusions,en
