text,distortion_label,language,template_id
"I forgot boss's birthday, I always mess up the things that matter to people.",Overgeneralization,en,Overgeneralization::77955
I burned the photo again tonight. Cooking has started to feel like something I'm just not cut out for.,Overgeneralization,en,Overgeneralization::45064
"My friend ought to always be polite, and it infuriates me when they aren't.",Should Statements,en,Should Statements::98684
"My partner and I saw things differently about the party, but we were able to talk it through calmly.",No Distortion,en,No Distortion::22731
"I made one mistake in the cleanup, so the whole thing was a complete disappointment.",Black & White Thinking,en,Black & White Thinking::4471
"There's a heaviness I can't shake tonight in the apartment, and I keep assuming it means something bad is coming to my reputation.",Emotional Reasoning,en,Emotional Reasoning::82233
"My team lost the contest, it's entirely my fault for missing that one play during a few hours.",Personalization,en,Personalization::63226
"I tripped in front of a group of people at the apartment today, and it's the third clumsy thing that's happened to me this an afternoon alone.",Overgeneralization,en,Overgeneralization::30510
"One part of the pitch needs revision, and now I keep referring to the whole draft as a disappointment.",Black & White Thinking,en,Black & White Thinking::94653
"I should be over this gathering by now, there's something wrong with me for still feeling this way after a week.",Should Statements,en,Should Statements::63563
"My brother pointed out one thing I could improve on the presentation, and I stopped seeing anything good in it after that.",Black & White Thinking,en,Black & White Thinking::24491
"I got some unexpected news about my proposal today, and my mind immediately jumped to losing everything over it.",Magnification and Catastrophizing,en,Magnification and Catastrophizing::22494
"My friend didn't react the way I expected after everything I did for them at the wedding, and I keep stewing over how unfair that feels.",Should Statements,en,Should Statements::70302
The colleague closed the door to their office right as I walked past. I've already decided what that means for my role.,Jumping to Conclusions,en,Jumping to Conclusions::70489
The brother seemed distracted during our call about the pitch. I've been assuming it's about something I said last a few hours.,Jumping to Conclusions,en,Jumping to Conclusions::48973
"My roommate said a lot of kind things today, but there's one offhand remark that's the only part I can remember clearly.",Mental Filter,en,Mental Filter::14089
"I forgot an important date for my dad again this year. It's starting to feel like a pattern I can't break, no matter how much I try.",Overgeneralization,en,Overgeneralization::76483
My dad was quieter than usual at dinner. I've been replaying the last a few hours trying to figure out what I did wrong at office.,Jumping to Conclusions,en,Jumping to Conclusions::98322
"My partner didn't get the role they wanted, and somehow I've attached myself to the reasons why.",Personalization,en,Personalization::27345
I skipped one workout this a day and I've been telling myself the whole a few hours is a write-off.,Black & White Thinking,en,Black & White Thinking::73395
"I've had a knot in my stomach all a few hours about the interview, and it's hard not to take that as a sign of how it's going to go.",Emotional Reasoning,en,Emotional Reasoning::707
The mom seemed distracted during our call about the meeting. I've been assuming it's about something I said last a few hours.,Jumping to Conclusions,en,Jumping to Conclusions::48973
"The concert had a lot of nice moments, but the one awkward part at work is the only thing I can file it under now.",Black & White Thinking,en,Black & White Thinking::48217
"There's a heaviness I can't shake tonight in the apartment, and I keep assuming it means something bad is coming to my livelihood.",Emotional Reasoning,en,Emotional Reasoning::82233
"I hold myself to never showing I'm struggling with the assignment, and today at the airport I couldn't keep that up.",Should Statements,en,Should Statements::11398
"The trip went well overall, but there's a small moment from it with my colleague that I keep replaying instead of anything else.",Mental Filter,en,Mental Filter::24053
