text,distortion_label,language,template_id
"I should not feel sad about this, I need to just get over it.",Should Statements,en,Should Statements_3
"I disagreed with my cousin, but we talked it out and came to an understanding.",No Distortion,en,No Distortion_9
"I burned the burger, I am always terrible at baking.",Overgeneralization,en,Overgeneralization_2
"My mom is lonely, I will ask if they want to talk about it.",No Distortion,en,No Distortion_5
"I disagreed with my partner, but we talked it out and came to an understanding.",No Distortion,en,No Distortion_9
I have to exercise every single day or I am a failure.,Should Statements,en,Should Statements_6
"My partner is in a bad mood, I must have upset them.",Personalization,en,Personalization_4
"If they do not praise me completely, then they must yelled me entirely.",Black & White Thinking,en,Black & White Thinking_2
"I made a typo in the report, but I corrected it and my manager said it was okay.",No Distortion,en,No Distortion_1
"I accomplished everything on my to-do list except one stain, so I am completely wasted.",Mental Filter,en,Mental Filter_9
"My brother is lonely, I will ask if they want to talk about it.",No Distortion,en,No Distortion_5
"My brother is frustrated, I will ask if they want to talk about it.",No Distortion,en,No Distortion_5
"My colleague got passed over for a position, I feel guilty like it is my fault.",Personalization,en,Personalization_7
I forgot my keys and now my whole month is a complete disaster.,Magnification and Catastrophizing,en,Magnification and Catastrophizing_2
"The dog is sick, I must have done something harmful to cause it.",Personalization,en,Personalization_6
"I failed this interview, I hardly ever succeed at anything important.",Overgeneralization,en,Overgeneralization_5
"My colleague is in a bad mood, I must have upset them.",Personalization,en,Personalization_4
"There is a scratch in the kitchen, it is going to collapse and we will lose everything.",Magnification and Catastrophizing,en,Magnification and Catastrophizing_7
"Everyone complimented my meal, but one person was quiet, so that person secretly hates it.",Mental Filter,en,Mental Filter_5
I need to always be busy or I am wasting my life.,Should Statements,en,Should Statements_1
"I won the election, but I did not beat my personal best, so it was a evil performance.",Mental Filter,en,Mental Filter_6
"I feel gross today, so everyone must think I am hideous.",Emotional Reasoning,en,Emotional Reasoning_4
"I got rejected from this promotion, I will hardly ever get hired anywhere.",Overgeneralization,en,Overgeneralization_1
"If they do not love me completely, then they must frowned me entirely.",Black & White Thinking,en,Black & White Thinking_2
"People ought to always be respectful, and it infuriates me when they aren't.",Should Statements,en,Should Statements_2
"I feel like a phony at work, so I must actually be bad at my internship.",Emotional Reasoning,en,Emotional Reasoning_0
"The proposal will definitely be declined, so why bother.",Jumping to Conclusions,en,Jumping to Conclusions_7
"My boss got passed over for a role, I feel guilty like it is my fault.",Personalization,en,Personalization_7
"I feel terrified of heights, so they must be inherently dangerous.",Emotional Reasoning,en,Emotional Reasoning_2
"The deal will definitely be rejected, so why bother.",Jumping to Conclusions,en,Jumping to Conclusions_7
"My partner did twenty nice things for me, but forgot to cleaning, so they do not care at all.",Mental Filter,en,Mental Filter_7
"If I am not the absolute best at coding, there is no point in even trying.",Black & White Thinking,en,Black & White Thinking_6
